CÓD,Origem,Ano,Categoria,Aeronave,Ocupante,PesoT,PesoV,PesoF,HP,Sw,Bw,Cmw,Sht,Svt,Sailer,Sprof,Sldirec,Sflap,Lfuse,Vcabine,Estrutura,Vstall,Vcruz,Vmáx,Alcance,Climb,Ddecol,Daterra,Teto,Afilamento,Perfil,Motor,Diedro,ttrem,Incidencia,Perfil (ponta),Tipoprop,Sweep
1,Inglaterra,1984,TRB,Slingsby T67M,2,2000,1430,250.8,260,136,34.75,3.87,28.73,16.41,1.24,10.65,8.82,18.94,24,1,1,57,134,146,638,900,1095,1315,15000,0.51,NACA 23015,Lycoming AEIO-540-D4A5,3,fixo,3,NACA 23013,p,1
2,Czech,1976,TRA,AERO L-39 ZA,2,10218,7859,2156,363,202.4,31,7,49.5,67.6,1.3,16.14,10.22,29.05,39.9,1,1,87,370,410,730,1344,1171,1837,12000,0.5,NACA 64A012,ZMKB Progress AI-25 TL turbofan,2,retratil,2,NACA 64A012,j,2
3,Czech,1988,TRP,Zlin 242,2,2138,1609,330,210,141.5,30,4.92,22.92,27.89,1.41,14.63,8.72,15.17,24,1,1,57,115,141,326,1000,764,935,15000,1,NACA 63-416.5,LOM M 337AK seis cilindros em linha,6,fixo,2,NACA 63-416.5,p,1
4,Italia,1965,TRPB,Siai Marchetti SF 260,2,2645,1717,372,260,108.7,27.3,1.06,24.75,22.53,0.76,10.33,6.46,12.7,23.9,1,1,70,215,272,686,1800,902,886,19000,0.5,NACA 64-212,Textron Lycoming AEIO-540-D4A5,7,retratil,2,NACA 64-210,p,4
5,USA,1948,TRP,T-34 Mentor,2,2893,2050,330,225,177,32.3,5.18,30.77,15.02,1.46,15.71,16.03,13.45,25.3,1,1,45,172,189,713,1320,2559,1083,20000,0.48,NACA 23016.5,Pratt & Whitney Canada PT6A-25 turbohélice,8,retratil,5,NACA 23012,p,4
6,Suíça,1982,TRBA,Pilatus PC-9,2,5180,3803,858,950,175,33.2,5.41,36.11,29,1.57,17.22,9.68,19.05,33.2,1,1,93,387,425,720,4249,797,1151,38000,0.56,PIL15M825 ,Pratt & Whitney Canada PT6A-62 turbohélice,7,retratil,1,PIL12M850,tp,1
7,Suiça,1952,TRP,Pilatus P3,2,3300,2442,330,240,177,34.1,5.21,35.51,16.95,1.14,23.56,4.84,16.46,28.7,1,1,52,180,192,405,1300,2559,1656,18000,0.56,NACA 64A12,Lycoming GO-435-C2A ,10,retratil,2,NACA 64A?12,p,13
8,USA,1970,TRPB,T-34C turbo Mentor,2,4300,2960,334.4,550,180,33.3,5.21,37.66,30,1.42,17.32,11.84,22.17,28.8,1,1,74,240,280,600,1480,1538,1650,25000,0.58,NACA 23016.5,"Lycoming GO-435-C2-A2,",7,retratil,6,NACA 23012,tp,3
9,Brasil,1978,TRBA,EMBRAER T-27,2,6985,3982,1221,750,208,36.5,6.3,52.83,36.48,1.85,20.87,13.99,22.27,32.32,1,1,76,250,284,1140,2656,2103,1716,31000,0.4,NACA 63-415,Pratt & Whitney Canada PT6A-25C,6,retratil,3,NACA 63A-212,tp,4
10,Brasil,1985,TRBA,EMBRAER T-27 Short,2,6470,4872,1210,1100,208,37,5.6,38.74,40.23,1.4,10.76,14.1,12.05,32.32,1,1,81,310,320,954,3270,1476,1640,34000,0.4,NACA 63-415,Garrett TPE331-12B turboprop,6,retratil,3,NACA 63A-212,tp,5
11,Brasil,1998,TRBA,EMBRAER- 314 ALX,2,10819,5324,1183.6,1600,208,36.5,5.7,52.08,39.5,1.97,21.52,14.85,27.76,37.4,1,1,128,330,347,809,4750,1148,1804,35000,0.43,NACA 63-415,Pratt & Whitney Canada PT6A-68-3 Turbohélice,6,retratil,3,NACA 63A-212,tp,5
12,USA,1958,TRBA,Cessna T-37 Tweet,2,6625,6211,633.6,930,184,33,6.3,51.65,26.82,2,16.14,10.76,19.95,29,1,1,85,300,480,800,7000,1200,1125,41800,0.64,NACA 2418,2× General Electric J85-GE-17A turbojatos,4,retratil,1,NACA 2412,j,3
13,Inglaterra,1943,TRBA,DH Vampire FB 5,1,11170,7270,1614.8,1588,243,38,6.85,34.75,17.5,1.91,11.3,5.16,13.99,30.8,1,1,105,525,537,947,4050,1804,2198,40000,0.26,EC1240/0640 14,De Havilland Goblin 2 turbojato,4,retratil,2,EC1240/0640 (9),j,13
14,Brasil - Italia,1957,TRBA,EMB-326 Xavante,2,10900,5919,1375,1547,208,37.5,6.33,46.81,29,1.47,20.87,7.42,19.48,35,1,1,90,520,538,1132,4500,1640,1476,47000,0.6,NACA 64A-114,Rolls Royce Viper MK.540,6,retratil,2,NACA64A-212,j,12
15,Italia,1976,TRBA,MB-339A Veltro,2,9700,6780,3146,1814,208,37.6,5.64,46.9,31.1,1.33,10.54,7.32,27.44,36,1,1,93,540,560,1100,6900,1772,1542,47900,0.6,NACA 64A-114,Rolls Royce Viper MK 680-43 turbojato,4,retratil,1,NACA 64A212,j,9
16,França,1948,TRBA,Super Magister,2,7050,4740,1711.6,960,186.1,39.3,5.14,45.62,14.37,1.4,20.44,6.89,14.2,33,1,1,94,444,450,575,3345,1853,1614,36080,0.43,NACA 64-219,2× Turbomeca Marboré IIA turbojatos,4,retratil,3,NACA 64-212,j,12
17,USA,1935,TRB,NA T-6,2,5600,4158,732.6,600,523.3,42,6,50.68,29,1.94,18.83,14.31,22.17,29.4,1,1,54,160,208,700,1200,1775,2296,24500,0.46,NACA 2215,Pratt&Whitney R-1340-AN1 Wasp 9 cilindros radiais,4,retratil,4,NACA 4412,tp,10
18,India,2003,TRBA,HJT-16 Kiran,2,9900,7700,1100,1134,203.9,32.3,6,44.12,30,1.6,14.31,10.33,25.82,36.1,1,1,82,431,512,1130,5700,1804,2198,29520,0.373,NACA 23015 ,SNECMA Larzac 04-H20,2,retratil,2,NACA 23012,j,15
19,Italia,1960,TRA,Fiat G-91R,2,11900,6830,796.4,1919,177,28,6.3,33.36,18,3.37,8.18,6.67,12.7,33.7,1,1,127,586,660,715,6000,2667,2952,43000,0.49,NACA 65A112 ,Bristol Siddeley Orpheus 80302,0,retratil,1,NACA 65A111,j,40
